"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
7511,7422,7324,7261,7169,7051,6953,6866,6767,6673,6556,6390,6256,6127,5974,5837,5676,5537,5364,5191,4996,4808,4608,4360,4164,3938,3707,3496,3260,3021,2821,2605,2382,2195,1978,1754,1581
6703,6644,6566,6479,6423,6343,6237,6150,6074,5985,5903,5798,5652,5532,5420,5284,5162,5021,4897,4745,4591,4418,4254,4076,3857,3684,3483,3280,3093,2884,2672,2495,2306,2108,1943,1752,1552
8508,8413,8340,8241,8132,8062,7960,7829,7720,7624,7513,7410,7279,7094,6945,6803,6632,6480,6302,6147,5956,5763,5547,5338,5116,4841,4624,4373,4116,3882,3620,3353,3132,2893,2645,2438,2197
9200,9139,9037,8958,8851,8735,8659,8550,8409,8292,8189,8070,7959,7817,7620,7460,7308,7124,6960,6770,6603,6398,6190,5958,5734,5496,5200,4966,4696,4421,4170,3888,3602,3364,3107,2841,2619
9178,9088,9028,8927,8849,8744,8629,8555,8447,8308,8192,8089,7973,7862,7724,7528,7370,7220,7038,6877,6688,6523,6320,6116,5886,5665,5430,5137,4907,4640,4367,4120,3841,3559,3323,3070,2806
8940,8839,8752,8694,8597,8522,8421,8310,8238,8135,8001,7889,7791,7677,7572,7438,7250,7098,6953,6777,6623,6441,6283,6087,5891,5669,5456,5230,4948,4726,4470,4207,3968,3700,3429,3202,2957
9560,9513,9406,9313,9251,9148,9068,8961,8842,8766,8656,8514,8395,8289,8169,8056,7914,7715,7552,7398,7212,7047,6853,6685,6476,6267,6031,5806,5565,5265,5028,4755,4477,4222,3937,3648,3406
9304,9234,9190,9085,8996,8937,8837,8760,8656,8542,8468,8361,8225,8110,8008,7892,7783,7647,7452,7296,7147,6967,6808,6620,6458,6256,6055,5827,5608,5376,5086,4858,4595,4324,4078,3803,3524
11254,11176,11093,11039,10914,10807,10735,10615,10522,10397,10260,10171,10044,9879,9741,9619,9479,9349,9184,8952,8764,8584,8369,8177,7953,7757,7515,7273,6999,6737,6457,6109,5835,5519,5195,4899,4569
10736,10642,10568,10489,10439,10320,10219,10152,10038,9951,9832,9703,9619,9497,9343,9212,9096,8964,8841,8686,8465,8288,8118,7914,7734,7521,7336,7107,6879,6620,6371,6107,5778,5519,5220,4913,4634
11629,11547,11445,11365,11281,11226,11099,10991,10917,10795,10701,10573,10435,10343,10214,10047,9907,9782,9640,9508,9340,9104,8914,8729,8511,8316,8089,7889,7643,7397,7118,6852,6567,6214,5935,5613,5283
11440,11369,11288,11189,11111,11028,10975,10851,10744,10673,10554,10461,10337,10201,10112,9985,9822,9685,9563,9424,9295,9131,8900,8713,8534,8320,8130,7907,7712,7471,7231,6958,6698,6420,6074,5801,5487
12646,12594,12516,12428,12318,12232,12141,12083,11945,11829,11750,11618,11517,11379,11230,11132,10993,10814,10662,10528,10376,10232,10053,9798,9594,9395,9160,8950,8705,8491,8226,7961,7661,7374,7068,6687,6387
11080,11022,10977,10909,10832,10736,10662,10582,10531,10412,10309,10241,10126,10038,9918,9788,9702,9581,9424,9292,9176,9042,8918,8761,8539,8361,8188,7983,7801,7587,7400,7169,6938,6677,6428,6160,5829
12317,12220,12156,12107,12032,11947,11841,11759,11671,11615,11483,11371,11295,11168,11071,10939,10795,10701,10567,10395,10249,10120,9973,9836,9663,9419,9222,9031,8805,8604,8368,8162,7907,7652,7364,7089,6794
12307,12248,12151,12088,12039,11964,11880,11775,11693,11605,11550,11418,11307,11231,11106,11009,10876,10734,10640,10508,10336,10191,10063,9917,9780,9609,9365,9170,8980,8755,8556,8320,8116,7863,7609,7323,7049
13358,13283,13220,13115,13048,12994,12914,12823,12710,12621,12527,12467,12325,12204,12123,11988,11883,11740,11587,11485,11342,11157,11000,10861,10704,10557,10371,10109,9898,9693,9450,9234,8981,8760,8487,8213,7903
13681,13550,13474,13410,13304,13235,13180,13099,13007,12892,12802,12706,12646,12502,12380,12297,12159,12054,11909,11753,11650,11505,11317,11158,11018,10858,10709,10521,10254,10041,9833,9586,9367,9110,8886,8609,8331
14709,14631,14491,14409,14341,14227,14154,14096,14008,13910,13787,13691,13589,13523,13370,13239,13151,13003,12890,12736,12569,12459,12304,12103,11933,11783,11612,11452,11251,10966,10737,10515,10252,10017,9742,9502,9206
15723,15609,15525,15376,15290,15217,15097,15018,14956,14864,14760,14629,14528,14419,14350,14187,14048,13956,13799,13679,13516,13337,13222,13056,12843,12664,12504,12323,12153,11940,11637,11395,11160,10879,10631,10338,10084
16257,16095,15979,15893,15740,15652,15577,15454,15374,15310,15216,15109,14976,14872,14761,14690,14523,14381,14287,14126,14004,13836,13653,13536,13365,13148,12964,12800,12616,12441,12224,11914,11665,11424,11137,10883,10583
